word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
j dz,2,-7.7721997781540715,-7.666165394952401,-8.18896108278626,-8.106195425800742,-inf,-inf,-12.037091705673292,-12.084708845722034,1.0110787429378532,1.0096436535731859,1.015247584541063,1.011674956388841,1,1,1.0007974481658692,1.0006107223355551
l zi,2,-8.177664886262235,-8.063046759369175,-8.218329620255162,-8.158787173669179,-inf,-inf,-10.066640447701863,-10.446818817126706,1.0293079096045197,1.0184001664780142,1.0321557971014494,1.0201337097685625,1,1,1.0007974481658692,1.0006107223355551
w m,2,-6.296460356682253,-6.310508003294401,-6.317454313358992,-6.3242471419838395,-inf,-inf,-9.783955455268151,-10.46329459383253,1.0751677259887005,1.058591674833927,1.0743885869565217,1.058716833059894,1,1,1.0007974481658692,1.0006107223355551
l cz,2,-7.196835633250509,-7.175743564368272,-7.365788096084375,-7.35051460137786,-inf,-inf,-9.835866507521962,-10.145993958574232,1.0293079096045197,1.0252635220410677,1.0321557971014494,1.0267287577474906,1,1,1.0007974481658692,1.0006107223355551
w r,2,-6.055298299865365,-6.07411922523017,-5.804930256932023,-5.817016315909356,-inf,-inf,-9.139144821269497,-9.77936324219945,1.0808174435028248,1.1042761288094562,1.0795969202898552,1.102615355159148,1,1,1.0007974481658692,1.0006107223355551
m zi,2,-8.03106141207036,-7.919945915728501,-8.239334837056735,-8.179518711663693,-inf,-inf,-9.514033289920917,-9.464035529859768,1.0501412429378532,1.0415465772197647,1.0514794685990339,1.0425506234499458,1,1,1.0007974481658692,1.0006107223355551
m dzi,2,-7.8769107322431005,-7.7864145231039785,-8.000224910354788,-7.956592523713951,-inf,-inf,-9.358379980209124,-9.29378655424461,1.0501412429378532,1.0438828318627886,1.0514794685990339,1.0447955474262987,1,1,1.0007974481658692,1.0006107223355551
ni v,2,-6.435353692448162,-6.438341374804286,-7.06072516395766,-7.050616460993286,-inf,-inf,-10.985761207349219,-10.240595296440901,1.0534516242937855,1.0556055865583394,1.054310084541063,1.0558370703191762,1,1,1.0007974481658692,1.0006107223355551
n p,2,-6.978969139037143,-6.9705581885515935,-6.946550623063353,-6.9380904324957875,-inf,-inf,-11.139692420479669,-10.43237931167621,1.0532309322033897,1.0643629227917666,1.0541213768115942,1.0642599141027862,1,1,1.0007974481658692,1.0006107223355551
x si,2,-7.26137415438808,-7.242799076514997,-6.964611085757539,-6.961892081769326,-inf,-inf,-9.48682719836432,-9.232872755392732,1.0588365112994351,1.0608256824819047,1.0594806763285023,1.06109323447456,1,1,1.0007974481658692,1.0006107223355551
k cz,2,-7.170860146847248,-7.1504257563839815,-7.137474098197706,-7.12483617042638,-inf,-inf,-9.103040843143841,-8.93277516749501,1.0553495762711864,1.067497498641232,1.05631038647343,1.0676316613739143,1,1,1.0007974481658692,1.0006107223355551
n m,2,-6.778298443574991,-6.774813611425499,-7.283145133903198,-7.270915382203995,-inf,-inf,-10.253959084513886,-9.899010328638298,1.0673552259887005,1.0582547162346334,1.0671422101449275,1.0583904942629705,1,1,1.0007974481658692,1.0006107223355551
b g,2,-6.707287407931803,-6.710275090287928,-6.875604100057969,-6.874369948167228,-inf,-inf,-9.67357481838305,-9.691492795383205,1.0727401129943503,1.060504338629149,1.072312801932367,1.0607931308797527,1,1,1.0007974481658692,1.0006107223355551
