word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
V N,2,-8.393442383980062,-7.7154209129846745,-8.051868914068683,-7.912351292376007,-inf,-inf,-8.961879012677684,-8.18169589321265,1.0484848484848484,1.0515739956180064,1.0623376623376624,1.0551127540128713,1,1,1.001934235976789,1.0015635185131846
Z P,2,-7.294830095311953,-6.86812305259747,-7.352725523522523,-7.209071223165811,-inf,-inf,-9.110299017795956,-8.763327067707836,1.109090909090909,1.0981286321005885,1.0987012987012987,1.0955290437455314,1,1,1.001934235976789,1.0015635185131846
ZH P,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.0909090909090908,1.0833886625626112,1.0727272727272728,1.0786891690342981,1,1,1,1
ZH T,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.0606060606060606,1.0736920463900366,1.0545454545454545,1.0701938246567078,1,1,1,1
SH K,2,-6.314000842300226,-6.2113435162084,-6.399214080938135,-6.36547092109988,-inf,-inf,-8.812347278706719,-8.351922583040245,1.1575757575757577,1.1246295125087253,1.1298701298701297,1.119711233729217,1,1,1.001934235976789,1.0015635185131846
ZH K,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.121212121212121,1.0925185842878462,1.0909090909090908,1.0866880242860597,1,1,1,1
ZH N,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.0303030303030303,1.0301533278426498,1.0363636363636364,1.0320489294441728,1,1,1,1
V P,2,-7.294830095311953,-6.86812305259747,-6.978932103804845,-6.894555437977203,-inf,-inf,-9.110299017795956,-8.519310747318567,1.109090909090909,1.1048093303379678,1.0987012987012987,1.1017529936029966,1,1,1.001934235976789,1.0015635185131846
ZH V,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1,1,1.018181818181818,1.0056311668355828,1,1,1,1
V K,2,-7.0071480228601715,-6.6168086243165645,-6.804054256300814,-6.724416197789971,-inf,-inf,-9.176990392294629,-8.607475458494918,1.1393939393939392,1.1139392520632028,1.1168831168831168,1.1097518488547582,1,1,1.001934235976789,1.0015635185131846
Z K,2,-7.0071480228601715,-6.6168086243165645,-7.177847676018493,-7.038931982978577,-inf,-inf,-9.176990392294629,-8.851491778884187,1.1393939393939392,1.1072585538258235,1.1168831168831168,1.103527898997293,1,1,1.001934235976789,1.0015635185131846
