Subject,Nonword,ARPA,TrialNum,TestOrControl,Naturalness,Type,Hwi_ConstraintWeight,Hwi_Score,Albright2009,Task,TaskOrder,SubjectResponse,LogResponse
19,clope,K L OW P,78,control,natural,NatCon,4.21,0,0.00000283,line,1,107.4373,4.676907422
20,clope,K L OW P,34,control,natural,NatCon,4.21,0,0.00000283,line,2,169.312,5.131743167
21,clope,K L OW P,69,control,natural,NatCon,4.21,0,0.00000283,line,2,378.9586,5.937426964
22,clope,K L OW P,54,control,natural,NatCon,4.21,0,0.00000283,line,2,110.6909,4.706741632
23,clope,K L OW P,17,control,natural,NatCon,4.21,0,0.00000283,line,2,208.3757,5.3393427
24,clope,K L OW P,44,control,natural,NatCon,4.21,0,0.00000283,line,2,286.4941,5.657717943
25,clope,K L OW P,72,control,natural,NatCon,4.21,0,0.00000283,line,2,61.20903,4.114294728
26,clope,K L OW P,20,control,natural,NatCon,4.21,0,0.00000283,line,1,196.6392,5.281370577
27,clope,K L OW P,16,control,natural,NatCon,4.21,0,0.00000283,line,2,299.4211,5.701850944
28,clope,K L OW P,59,control,natural,NatCon,4.21,0,0.00000283,line,2,208.3685,5.339308147
29,clope,K L OW P,46,control,natural,NatCon,4.21,0,0.00000283,line,2,454.9188,6.120118941
1,ezger,EH Z G ER,32,control,natural,NatCon,3.138,0,0.000000117,line,2,107.2912,4.675546633
2,ezger,EH Z G ER,76,control,natural,NatCon,3.138,0,0.000000117,line,1,24.10035,3.182226363
3,ezger,EH Z G ER,66,control,natural,NatCon,3.138,0,0.000000117,line,2,113.4637,4.731482962
4,ezger,EH Z G ER,33,control,natural,NatCon,3.138,0,0.000000117,line,1,128.2712,4.854146773
5,ezger,EH Z G ER,72,control,natural,NatCon,3.138,0,0.000000117,line,2,83.99487,4.430755726
6,ezger,EH Z G ER,4,control,natural,NatCon,3.138,0,0.000000117,line,1,27.34717,3.30861305
7,ezger,EH Z G ER,13,control,natural,NatCon,3.138,0,0.000000117,line,2,72.94645,4.28972561
8,ezger,EH Z G ER,68,control,natural,NatCon,3.138,0,0.000000117,line,2,68.36792,4.224903709
9,ezger,EH Z G ER,76,control,natural,NatCon,3.138,0,0.000000117,line,1,67.71992,4.215380376
10,ezger,EH Z G ER,28,control,natural,NatCon,3.138,0,0.000000117,line,1,95.69097,4.561123937
11,ezger,EH Z G ER,52,control,natural,NatCon,3.138,0,0.000000117,line,1,39.36433,3.672860076
12,ezger,EH Z G ER,40,control,natural,NatCon,3.138,0,0.000000117,line,2,74.90462,4.316215571
13,ezger,EH Z G ER,51,control,natural,NatCon,3.138,0,0.000000117,line,2,159.5251,5.072201277
14,ezger,EH Z G ER,13,control,natural,NatCon,3.138,0,0.000000117,line,2,19.09961,2.949667916
15,ezger,EH Z G ER,76,control,natural,NatCon,3.138,0,0.000000117,line,2,66,4.189654742
16,ezger,EH Z G ER,17,control,natural,NatCon,3.138,0,0.000000117,line,2,42.97412,3.760598074
17,ezger,EH Z G ER,36,control,natural,NatCon,3.138,0,0.000000117,line,2,87.20226,4.468230248
18,ezger,EH Z G ER,4,control,natural,NatCon,3.138,0,0.000000117,line,2,67.06883,4.205719405
19,ezger,EH Z G ER,48,control,natural,NatCon,3.138,0,0.000000117,line,1,18.23145,2.903148125
20,ezger,EH Z G ER,36,control,natural,NatCon,3.138,0,0.000000117,line,2,146.7223,4.988541685
21,ezger,EH Z G ER,65,control,natural,NatCon,3.138,0,0.000000117,line,2,304.7263,5.719413997
22,ezger,EH Z G ER,11,control,natural,NatCon,3.138,0,0.000000117,line,2,66.41774,4.195964189
23,ezger,EH Z G ER,10,control,natural,NatCon,3.138,0,0.000000117,line,2,87.98838,4.47720476
